tau	eff_sta	eff_tra	pow_sta	pow_tra	pow_ratio
7.78	0.9926415021	0.9779847124	447.9305957	441.0799611	1.015531503
7.8	0.9926414946	0.9783142167	446.782052	440.1024276	1.015177431
7.82	0.9926414928	0.9786385624	445.6393858	439.1275019	1.014829142
7.84	0.9926414966	0.9789577932	444.5025523	438.1551842	1.014486575
7.86	0.992641506	0.979271952	443.3715067	437.1854742	1.014149675
7.88	0.9926415213	0.9795810827	442.2462053	436.2183722	1.013818384
7.9	0.992641542	0.9798852287	441.1266041	435.2538782	1.013492645
7.92	0.9926415685	0.9801844334	440.0126601	434.2919922	1.0131724
7.94	0.9926416011	0.9804787412	438.9043309	433.3327148	1.012857594
7.96	0.992641639	0.9807681954	437.8015735	432.3760458	1.012548169
7.98	0.9926416829	0.9810528398	436.7043465	431.4219856	1.01224407
8	0.9926417325	0.9813327193	435.6126083	430.4705348	1.011945239
8.2	0.9926425144	0.9838791395	424.9882596	421.0996187	1.009234492
8.4	0.992643694	0.9859977282	414.8700056	411.9900887	1.006990258
8.6	0.9926450284	0.9877326532	405.2224334	403.1423035	1.005159791
8.8	0.9926462675	0.98912737	396.0133467	394.5563121	1.003692843
9	0.9926472261	0.9902240556	387.213438	386.2316559	1.002541951
9.2	0.9926478215	0.9910631221	378.7959894	378.1672282	1.001662654
9.4	0.992648069	0.9916827986	370.7365949	370.3611785	1.00101365
9.6	0.9926480505	0.9921187941	363.0129078	362.8108607	1.000556894
9.8	0.9926478782	0.9924040314	355.6044166	355.5128139	1.000257664
10	0.9926476583	0.9925684612	348.4922484	348.4627752	1.000084581
10.2	0.9926474707	0.9926389428	341.659001	341.6557157	1.000009616
10.4	0.992647359	0.9926391976	335.0885978	335.0858973	1.000008059
10.6	0.9926473323	0.9925898211	328.7661638	328.7469442	1.000058463
10.8	0.9926473733	0.9925083537	322.6779169	322.6319254	1.000142551
11	0.992647455	0.9924094022	316.8110741	316.7334463	1.000245089
11.2	0.9926475498	0.9923048021	311.1537654	311.0437424	1.000353722
11.4	0.9926476401	0.9922038181	305.694957	305.5547764	1.000458774
11.6	0.9926477176	0.992113368	300.4243792	300.2583317	1.000553015
11.8	0.9926477807	0.9920382719	295.3324603	295.1461045	1.000631402
12	0.9926478315	0.9919815106	290.4102682	290.2097893	1.000690807
12.2	0.992647873	0.9919444911	285.6494565	285.4411582	1.000729742
12.4	0.9926479082	0.9919273111	281.0422174	280.8321316	1.000748083
12.6	0.9926479393	0.9919290167	276.5812385	276.3748407	1.000746804
12.8	0.992647968	0.9919478466	272.2596644	272.06168	1.000727719
13	0.9926479956	0.991981461	268.0710615	267.8853508	1.000693247
13.2	0.9926480219	0.9920271496	264.0093855	263.8388947	1.000646192
13.4	0.9926480472	0.9920820138	260.0689532	259.9157176	1.000589559
13.6	0.9926480714	0.9921431299	256.2444157	256.1096059	1.000526376
13.8	0.992648093	0.9922076783	252.5307337	252.4147328	1.000459565
14	0.9926481114	0.9922730524	248.9231561	248.8256592	1.000391828
14.2	0.9926481249	0.9923369387	245.4171992	245.3373261	1.000325564
14.4	0.9926481321	0.9923973744	242.0086284	241.945043	1.000262809
14.6	0.9926481334	0.9924527811	238.6934417	238.6444711	1.000205203
14.8	0.9926481301	0.9925019778	235.4678537	235.4316024	1.000153978
15	0.9926481245	0.9925441767	232.3282809	232.3027373	1.000109958
15.2	0.9926481196	0.9925789643	229.2713289	229.2544593	1.000073584
15.4	0.9926481187	0.9926062679	226.2937792	226.283609	1.000044945
15.6	0.992648123	0.9926263166	223.3925783	223.3872588	1.000023813
15.8	0.9926481328	0.9926395922	220.5648268	220.562687	1.000009701
16	0.9926481467	0.992646777	217.8077699	217.8073535	1.000001912
16.2	0.9926481615	0.9926487024	215.1187886	215.1188766	0.9999995909
16.4	0.9926481735	0.9926462945	212.4953915	212.4950123	1.000001785
16.6	0.9926481797	0.9926405262	209.9352074	209.9336348	1.000007491
16.8	0.9926481785	0.9926323713	207.4359785	207.4327203	1.000015707
17	0.9926481699	0.9926227624	204.9955533	204.9903318	1.000025472
17.2	0.9926481568	0.9926125612	202.6118813	202.6046078	1.0000359
17.4	0.9926481426	0.9926025272	200.2830062	200.2737519	1.000046208
17.6	0.9926481304	0.9925933026	198.0070606	197.9960255	1.000055734
17.8	0.9926481232	0.9925853969	195.7822608	195.7697416	1.000063949
18	0.9926481216	0.992579184	193.6069022	193.5932613	1.000070461
18.2	0.9926481255	0.9925749017	191.4793546	191.4649912	1.000075019
18.4	0.9926481336	0.9925726601	189.3980589	189.3833822	1.000077497
18.6	0.9926481441	0.9925724511	187.3615227	187.3469292	1.000077896
18.8	0.9926481549	0.9925741645	185.368317	185.3541714	1.000076316
19	0.9926481648	0.9925776052	183.4170733	183.4036937	1.000072952
19.2	0.9926481728	0.9925825122	181.5064801	181.4941272	1.000068063
19.4	0.992648179	0.9925885792	179.6352803	179.6241511	1.000061958
19.6	0.9926481838	0.9925954727	177.802268	177.7924933	1.000054978
19.8	0.9926481873	0.9926028518	176.006286	175.9979316	1.000047469
20	0.9926481902	0.9926103848	174.2462236	174.2392941	1.00003977
