x	wf1	wf2	wf3
-21.5918	68.09618	67.79314	67.47217
-21.5625	68.74238	68.44077	68.12131
-21.5332	69.38769	69.08751	68.76956
-21.50391	70.03212	69.73337	69.41693
-21.47461	70.67567	70.37835	70.06342
-21.44531	71.31833	71.02244	70.70901
-21.41602	71.96012	71.66564	71.35373
-21.38672	72.60102	72.30797	71.99755
-21.35742	73.24104	72.94941	72.6405
-21.32812	73.88018	73.58997	73.28255
-21.29883	74.51844	74.22964	73.92373
-21.26953	75.15581	74.86843	74.56401
-21.24023	75.79231	75.50634	75.20342
-21.21094	76.42792	76.14337	75.84194
-21.18164	77.06266	76.77951	76.47957
-21.15234	77.69651	77.41477	77.11632
-21.12305	78.32948	78.04915	77.75218
-21.09375	78.96158	78.68264	78.38717
-21.06445	79.59279	79.31526	79.02126
-21.03516	80.22312	79.94699	79.65448
-21.00586	80.85257	80.57784	80.2868
-20.97656	81.48114	81.20781	80.91825
-20.94727	82.10883	81.83689	81.54881
-20.91797	82.73565	82.4651	82.17849
-20.88867	83.36158	83.09242	82.80728
-20.85938	83.98663	83.71886	83.43519
-20.83008	84.6108	84.34442	84.06222
-20.80078	85.23409	84.9691	84.68836
-20.77148	85.85651	85.59289	85.31362
-20.74219	86.47804	86.21581	85.938
-20.71289	87.09869	86.83784	86.56149
-20.68359	87.71847	87.45899	87.1841
-20.6543	88.33736	88.07926	87.80583
-20.625	88.95538	88.69865	88.42667
-20.5957	89.57252	89.31716	89.04663
-20.56641	90.18877	89.93479	89.66571
-20.53711	90.80415	90.55154	90.2839
-20.50781	91.41865	91.1674	90.90121
-20.47852	92.03227	91.78239	91.51764
-20.44922	92.64501	92.39649	92.13319
-20.41992	93.25688	93.00972	92.74785
-20.39062	93.86786	93.62206	93.36163
-20.36133	94.47796	94.23352	93.97453
-20.33203	95.08719	94.8441	94.58654
-20.30273	95.69554	95.4538	95.19768
-20.27344	96.30301	96.06262	95.80792
-20.24414	96.9096	96.67056	96.41729
-20.21484	97.51531	97.27762	97.02578
-20.18555	98.12014	97.8838	97.63338
