Tf	wirrc_sta	wirrc_tra	fidc_sta	fidc_tra	wirre_sta	wirre_tra	fide_sta	fide_tra
0.51	74.527086	771.628736	0.9983408425	0.93879056766	53.8386938	636.747992	0.9989252339	0.92940129985
0.52	72.702747	770.373716	0.99837077352	0.93708806721	52.7085226	635.38852	0.99893346495	0.92750009276
0.53	70.92858	769.095886	0.99840015837	0.93537666082	51.6029698	634.0061456	0.99894195202	0.92559766466
0.54	69.202166	767.795334	0.99842902415	0.93365749145	50.5204986	632.601052	0.99895070173	0.92369551371
0.55	67.521277	766.47215	0.99845739541	0.93193170269	49.4597834	631.1734272	0.99895971674	0.92179512353
0.56	65.883856	765.126424	0.99848529439	0.9302004379	48.4196786	629.72346	0.99896899632	0.91989796191
0.57	64.287909	763.758247	0.99851278685	0.92850158375	47.3991386	628.2513416	0.99897860739	0.91804769807
0.58	62.731869	762.367714	0.99853979618	0.92676294936	46.3974138	626.7572656	0.9989884014	0.9161613431
0.59	61.214003	760.954919	0.99856638885	0.92502223926	45.4136994	625.2414264	0.99899844258	0.91428248682
0.6	59.732795	759.519958	0.99859258014	0.92328058769	44.447341	623.7040208	0.99900872144	0.9124125221
0.61	58.286903	758.06293	0.99861835304	0.92150187174	43.4978106	622.1452488	0.99901916385	0.9105106948
0.62	56.874869	756.583934	0.99864378545	0.91976164498	42.5645186	620.5653096	0.99902988641	0.90866269148
0.63	55.495539	755.083071	0.99866885475	0.91802387042	41.647069	618.9644072	0.99904081129	0.90682764984
0.64	54.147769	753.560442	0.99869357169	0.91628966033	40.7450666	617.342744	0.99905192519	0.90500687042
0.65	52.830484	752.016153	0.99871794607	0.91456011962	39.8581634	615.7005272	0.99906321432	0.90320162849
0.66	51.542682	750.450307	0.99874198694	0.91283634507	38.986045	614.0379632	0.99907466462	0.90141317334
0.67	50.283417	748.863012	0.99876570258	0.91111942469	38.1284282	612.3552616	0.99908626186	0.89964272747
0.68	49.051806	747.254375	0.99878910059	0.90941043698	37.285057	610.6526312	0.99909799179	0.89789148591
0.69	47.846975	745.624507	0.99881219787	0.90774776668	36.4556706	608.9302856	0.99910989	0.8962013782
0.7	46.668223	743.973517	0.998834979	0.90605775924	35.6401042	607.1884368	0.99912184116	0.89449174489
0.71	45.514767	742.30152	0.99885746192	0.9043788375	34.838129	605.4273	0.99913388271	0.89280470893
0.72	44.385909	740.608627	0.99887965202	0.90271203557	34.0495586	603.6470896	0.99914600096	0.89114135009
0.73	43.280991	738.894955	0.99890155428	0.90105837491	33.274217	601.848024	0.99915818251	0.88950271796
0.74	42.199417	737.16062	0.99892317236	0.89938213015	32.5119514	600.0303208	0.99917037088	0.88785063819
0.75	41.140537	735.40574	0.99894451362	0.89775793429	31.7625698	598.1941992	0.99918264124	0.88626485889
0.76	40.103822	733.630435	0.99896557944	0.89614987998	31.0259354	596.33988	0.99919493672	0.88470678881
0.77	39.088741	731.834825	0.99898637327	0.89455893199	30.3019018	594.467584	0.99920724543	0.88317735269
0.78	38.094787	730.019033	0.99900689826	0.89298603966	29.5903242	592.5775336	0.99921955591	0.8816774435
